站號,站名,城市,地址
72C440,桃園農改場,桃園市,新屋區後庄里16號
72D080,桃改五峰分場,新竹縣,五峰鄉竹林村羅山11號
72D680,桃改新埔分場,新竹縣,新埔鎮義民路一段286巷133弄25號
72G600,臺中農改場,彰化縣,大村鄉田洋村松槐路370號
72HA00,中改埔里分場,南投縣,魚池鄉共和村五馬巷11-1號
72K220,南改斗南分場,雲林縣,斗南鎮復興路1-15號
72M360,南改義竹分場,嘉義縣,義竹鄉中平村中庄84號
72M700,南改鹿草分場,嘉義縣,鹿草鄉豐稠村農改場1號
72N100,臺南農改場,臺南市,新化區牧場70號
72N240,七股研究中心,臺南市,七股區十份里海埔48號
72Q010,高雄農改場,屏東縣,長治鄉德和村德和路2-6號
72S200,東改班鳩分場,臺東縣,卑南鄉美農村17號
72S590,東改賓朗果園,臺東縣,卑南鄉賓朗村改良場路36號
72T250,花蓮農改場,花蓮縣,吉安鄉吉安村吉安路二段150號
72U480,花改蘭陽分場,宜蘭縣,三星鄉大義村上將三段81巷6號
72V140,高改旗南分場,高雄市,旗山區廣福段213號
82A750,茶改北部分場,新北市,石碇區格頭村北宜路五段12號
82C160,茶改場,桃園市,楊梅區金龍里中興路324號
82H320,茶改中部分場,南投縣,魚池鄉中山路270巷13號
82H840,茶改南部分場,南投縣,鹿谷鄉初鄉村仁愛路255號
82S580,茶改東部分場,臺東縣,鹿野鄉龍田村北二路66號
A2C560,農工中心,桃園市,中壢區中園路196之1號
A2K360,水試臺西試驗場,雲林縣,臺西鄉中央路271號
A2K630,臺大雲林校區,雲林縣,虎尾鎮學府西路8號(臺大雲林分部鋤禾館)
A2N290,臺南蘭花園區,臺南市,後壁區13鄰烏樹里325號
B2E890,畜試北區分所,苗栗縣,西湖鄉五湖村埤頭面207-5號
B2N890,畜產試驗所,臺南市,新化區那菝里牧場112號
B2Q810,畜試南區分所,屏東縣,恆春鎮墾丁里牧場路1號
B2U990,畜試東區分所,宜蘭縣,五結鄉季水路28之1號
C2E520,大湖,苗栗縣,苗栗縣大湖鄉大寮村5鄰竹高屋34-1號附近
C2E540,後龍,苗栗縣,苗栗縣後龍鎮後龍溪橋旁高地
C2E880,三義,苗栗縣,苗栗縣三義鄉130縣道13.5K附近(慈濟山茶園內)
C2F000,大肚,臺中市,臺中市大肚區瑞井里遊園路一段2號(臺中區監理所內)
C2F930,大甲,臺中市,臺中市大甲區開元路71號(大甲高級工業職業學校內)
C2F9A0,中竹林,臺中市,臺中市太平區長龍路中埔二號橋至站址直線距離約1.7km
C2FA00,烏石坑,臺中市,臺中市和平區東崎路2段烏石巷109號
C2G640,鹿港,彰化縣,彰化縣鹿港鎮海埔里顏厝巷67號
C2G840,北斗,彰化縣,彰化縣北斗鎮斗苑路二段150號(螺陽國小)
C2G870,芳苑,彰化縣,彰化縣芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中)
C2H950,中寮,南投縣,南投縣中寮鄉復興村初中巷50號(中寮國中校園內)
C2I090,鳳凰,南投縣,南投縣鹿谷鄉鳳凰鳥園旁
C2K240,草嶺,雲林縣,雲林縣古坑鄉草嶺村龍頭
C2M410,馬頭山,嘉義縣,嘉義縣大埔鄉永樂村一鄰內灣仔2號
C2O810,曾文,臺南市,臺南市楠西區曾文新村(曾文水庫管理局內)
C2O930,玉井,臺南市,臺南市玉井區台灣糖業公司玉井糖廠
C2O950,安南,臺南市,臺南市安南區公學路6段589號(學東國民小學內)
C2V250,甲仙,高雄市,高雄市甲仙區(甲仙國民中學操場後方小山丘上)
C2V260,月眉,高雄市,高雄市杉林區月眉里山仙路1號月眉農場(杉林區月眉段2181號)
C2W230,畜試所澎湖,澎湖縣,澎湖縣西嶼鄉竹灣村235號
CAG100,王功漁港,彰化縣,芳苑鄉漁港路900號
CAH030,茶改場竹圍站,南投縣,名間鄉竹圍巷46-7號
CAJ050,海口故事園區,雲林縣,口湖鄉新港綠化公園旁
CAL110,布袋國中,嘉義縣,布袋鎮光復里六棟寮40號
CAN130,水試所海水繁養殖中心,臺南市,七股區三股里海埔4號
CAN140,六官養殖協會,臺南市,菁埔段1085號
CAQ030,崎峰國小,屏東縣,林邊鄉裕後路2號
E2H360,蓮華池,南投縣,魚池鄉五城村華龍巷43號
E2HA20,林試畢祿溪站,南投縣,仁愛鄉台8線公路102KM+200公尺(102.3K左右的畢綠溪入口)
E2K600,四湖植物園,雲林縣,四湖鄉中華路62巷80號
E2P980,林試六龜中心,高雄市,六龜區中興里中庄198號
E2P990,林試扇平站,高雄市,茂林區茂林巷125號
E2S960,林試太麻里2,臺東縣,太麻里鄉太麻里街575號旁小路
E2S980,林試太麻里1,臺東縣,太麻里鄉大王村19鄰橋頭6號
G2AI50,關渡,台北市,北投區承德路七段401巷551號旁農地
G2F820,農試所(霧峰),臺中市,霧峰區萬豐村中正路189號
G2L020,農試嘉義分所,嘉義市,民權路2號
G2M350,農試溪口農場,嘉義縣,溪口鄉妙崙村下崙路1之20號(靠近柳溝國小)
G2P820,農試鳳山分所,高雄市,鳳山區文龍東路530號
K2E360,苗栗農改場,苗栗縣,公館鄉館南村261號
K2E710,苗改生物防治研究中心,苗栗縣,大湖鄉民族路42號
K2F750,種苗改良場,臺中市,新社區興中街46號
U2H480,溪頭,南投縣,鹿谷鄉內湖村森林巷9號
U2HA30,臺大和社,南投縣,信義鄉同富村同和巷47號
U2HA40,臺大內茅埔,南投縣,信義鄉自強村綠美巷13號
U2HA50,臺大竹山,南投縣,竹山鎮前山路一段12號
V2C250,八德合作社,桃園市,八德區魚池街
V2C260,八德蔬果,桃園市,八德區茄苳路197號
V2K610,大庄合作社,雲林縣,二崙鄉大庄村酒姑路1號
V2K620,麥寮合作社,雲林縣,麥寮鄉山寮段271
